Unnamed: 0,sentence,class
3903,it was developed by adobe systems and first released in 1984.,1
3285,the importance of the computer to cognitive science is that it offers a potential nonhuman model for a thinking entity.,0
6031,these responses can then be compared to a database of known operating system fingerprints to determine the operating system running on the target system.,1
3209,"while the turk was eventually shown to be a hoax (a human player was hidden inside), the development of the electronic digital computer in the mid-20th century provided the opportunity to create a true automatic chess player.",0
1553,"while ordinary users viewed the computer sim-ply as a tool for solving particular problems, this peculiar breed of programmers reveled in extending the capabilities of the system and creating tools such as program editors that would make it easier to create even more powerful programs.",0
2761,during the cold war western and soviet cryptographers vied to create increasingly complex cryptosystems while deploying more powerful computers to decrypt their opponent’s messages.,0
4799,"increased accessibility: texting and instant messaging have made it easier for people with disabilities, such as those who are deaf or hard of hearing, to communicate with others.",1
3879,"a plug-in, also known as an add-on, extension, or module, is a software component that adds specific functionality to an existing software application.",1
3192,"to participate, a user simply joins a channel and sees all messages currently being posted by other users of the channel.",0
3366,be forgiving: people sometimes make mistakes online.,1
2917,"by the 1960s more-systematic research on dss was underway and included the provocative idea of “human-computer symbiosis” for problem solving ,.",0
3936,pert chart: a type of network diagram that uses statistical analysis to estimate task durations and identify the critical path.,1
3100,"self-driving: some smart cars are capable of autonomous driving, using a combination of sensors, cameras, and computer algorithms to navigate roads without human intervention.",0
223,"other important features to look forinclude:, powerful search or filtering capability, such as by typeof job or employer, keywords in job description, orlocality, the ability to put one’s resume online and edit orupdate it as needed.",0
2885,there are several types of specialized list.,0
2978,its goal is to provide an executive or manager with the key information that allows him or her to monitor the health of the enterprise and to take action when necessary.,0
1742,this latter approach to “high-performance computing” creates the virtual equivalent of a very large and powerful machine.,0
5837,"flash drives are widely used for storing and transporting digital files such as documents, photos, music, and videos.",1
5011,"for example, web browsers may display warnings when a user visits a suspicious website or block downloads from untrusted sources.",1
5289,"its platform independence, object-oriented programming model, and strong security features make it an ideal choice for many developers and organizations.",1
6323,"the hash is then encrypted using the signer's private key, which is known only to the signer, to create a digital signature.",1
2071,either transgression can lead to hard-to-find bugs.,0
3650,company research: some job sites allow you to research companies and read reviews from current and former employees to get a better sense of their work culture and reputation.,1
1795,a typical approach is to define a data record with various fields.,0
1892,flash drives can use a separate usb cable (useful when several devices need to be connected to closely spaced usb ports) or simply have a connector that plugs directly into the port.,0
1936,"a well-organized forth program builds up from “primitive” operations to the higher-level words, with the program itself being the highest-level word. )",0
1384,children in industrialized countries are liable toencounter video games even before they arrive at school.,0
5017,users can use their browsing history to revisit pages that they have previously visited.,1
1387,"meanwhile, a web of inces-sant messages , islikely to keep the youngster in touch with friends.",0
766,"together with physicist enrico fermi, two mathematicians, john von neumann , and stanislaw ulam, devised a new way to simulate complex systems.",0
6172,"broadband connections are typically ""always on,"" meaning that users can access the internet at any time without having to dial in.",1
2692,"the simplest type ofstream cipher uses a complicated function, which retains state, to generatea pseudo-random sequence which is then combined with the input using asimple operation such as bytewise addition.",0
5591,encapsulated postscript (eps) is a file format used to store and exchange high-resolution graphics and images.,1
1751,grove’s family was disrupted by the german occupa-tion of hungary later in world war ii.,0
5147,"in addition to its main video-sharing functionality, youtube also offers various tools and features for creators, including the ability to monetize their content through advertising revenue, live streaming capabilities, and analytics to track audience engagement and video performance.",1
4603,they work with stakeholders to identify business problems and opportunities and develop information technology (it) solutions that improve business processes and achieve organizational goals.,1
946,"one way to reduce the problem would be to compress the data ,.",0
866,the quicksort improves on the basic bubble sort by first choosing a record with a key approximately midway between the lowest and highest.,0
1912,devices such as printers and disk drives have their own symbols with lines indicating the flow of data to or from the device,0
954,"during the 1980s, sun was known mainly for its workstations for programmers and graphics professionals, running on its own sparc series microprocessors.",0
5221,this involves managing a pool of available memory and determining which portions of the memory should be assigned to each program.,1
3591,the email may ask the recipient to provide personal information or pay a processing fee in order to claim the prize.,1
2208,blue screen of death (bsod) is a term used in relations to microsoft windows operating systems.,0
2098,"activex controls are elements that can be added to web pages, therebyproviding them with more functionality (e. g. , animation, video, and threedimensional browsing).",0
4972,there are several ways to use voip technology.,1
6167,"the stop code is a hexadecimal code that indicates the type of error that occurred, such as a driver issue or a memory problem.",1
3275,"typically the data is being downloaded from a web site to be played on a personal computer or portable player ,.",0
6608,this technique is often used to covertly transmit sensitive or secret information without being detected.,1
5246,"these operations can be used to extract information, perform calculations, or generate reports.",1
3049,"0 (introduced in 2007), provides additional features for list processing and functional programming ,",0
1067,"the result is that the “information highway” now has many lanes, with some being express lanes.",0
1745,each task can be completed and submitted without waiting for the completion of any other task.,0
351,"also relevant is ontology (the nature and relationship of entities—see ontologies and data models), particularly with regard to the modern effort to encode relationships between items of knowledge into web pages ,",0
1908,lines with arrows indicate the flow of data from one stage or process to the next.,0
3024,the dom was created by the world wide web consortium (w3c) as a way to standardize methods of manipulating web pages at a time when different browsers used different access models.,0
5832,"the term ""smart mob"" was coined by author howard rheingold in his 2002 book ""smart mobs: the next social revolution.",1
2209,some crashes of these systems appear as a bluesscreen with white hexadecimal text (part of memory dump).,0
2671,the person may gradually succeed in persuading the help desk operatorto tell him or her all the necessary details for the connection set-up.,0
295,"on the other hand, parallel cables are more expensive(since they contain more wires) and are generally limitedto a length of 10 feet or so because of electrical interferencebetween the parallel wires.",0
4497,mp3 (mpeg audio layer iii): this is a compressed audio format that has become popular for music downloads and streaming.,1
159,", pop-up or pop-under ads appear above or beneath thecurrent window, respectivelyfloating ads appear over the main page content, oftenmoving across the screen.",0
6953,"by using the dom, developers can create interactive web applications that respond to user actions, update content dynamically, and provide a rich user experience.",1
3249,a familiar example is browsing the web.,0
4727,the debate around net neutrality has centered on whether internet service providers should be allowed to charge for faster access to certain websites or services.,1
272,)a more generalized method uses structural features(such as “all t’s have a single vertical line and a shortercrossbar line”) to classify characters.,0
1615,a number of handheld computers beginning with apple’s newton in the mid-1990s and the now popular palm devices and blackberry have some ability to recognize handwrit-ing.,0
1622,game consoles are computer devices dedicated to (or pri-marily used for) playing video games.,0
364,", the url shown for a link in the message (perhaps via a “tool tip”) does not match the institution’s real web address.",0
2473,after the link establishment phase is complete‚ the authenticator sendsa “challenge” message to the peer which is a random byte-sequence as wellas the identifier‚ a randomly generated number.,0
4682,the acknowledgment number contains the next expected sequence number that the recipient is waiting to receive.,1
5885,it was the first widely used programming language and is still used today in some scientific and engineering applications.,1
7306,"probability is expressed as a number between 0 and 1, where 0 represents an impossible event and 1 represents a certain event.",1
2732,"e-mail can be defined as the sending of a message to one or more individuals via a computer system, open the file, and look for messages.",0
4485,"it is also an efficient algorithm for sorting small datasets, or for use as a sub-routine in more complex algorithms.",1
4635,"it typically features a large touchscreen display, wi-fi connectivity, and various multimedia capabilities, such as music and video playback, as well as web browsing, email, and social media apps.",1
3661,"here is a general overview of the typical process:define the ontology scope and requirements: identify the domain or area of knowledge that the ontology will cover, and specify the purpose and goals of the ontology.",1
6095,"in computer science, an attack refers to any deliberate and malicious attempt to compromise the security or integrity of a computer system, network, or application.",1
3326,"for example, an optimizer can replace an arithmetic expression with its value so that it need not be repeatedly calculated while the program is running.",0
692,"these sites specialize in selecting what their editors believe to be the best and most useful sites for each topic, and organizing them into a multilevel topical index.",0
991,"as with some pdas, there may also be a system of shorthand “gestures” that can be used to write more quickly.",0
1953,"fractals and chaos the-ory are likely to produce many surprising discoveries in the future, in areas ranging from signal analysis and encryption to economic forecasting.",0
1462,"finally, browser flaws have sometimes allowed javascript to be used to com-promise security such as by installing malware-infested “browser helpers.",0
6976,one of the key features of c# is its integration with the .,1
5300,"as the interpreter executes each line of code, it converts the code into machine-readable instructions that can be executed by the computer's cpu.",1
6704,"they often start their businesses with little or no funding, relying on their own skills and resources to build their companies from the ground up.",1
1890,"because most computers, digital cameras, and other digital devices have usb ports, a flash drive is a convenient way to provide up to 16 gb (as of 2007) of low power, rewritable memory.",0
5481,"automatic form processing: handwriting recognition can be used to automatically process forms that are filled out by hand, such as medical forms, surveys, and tax forms.",1
7264,there are two types of codecs: lossy and lossless.,1
3785,"to create a pdf, the user must select the ""save as pdf"" or ""print to pdf"" option, which converts the document into a pdf file.",1
3082,"these calculators use a microprocessor with a set of “microinstructions” that enable them to perform a repertoire of operations ranging from basic arithmetic to trigonometric, statistical, or business-related function",0
1438,a lisp-style node list can be even more flexible in that items with varying sizes and types of data can be included in the same list.,0
6380,"to mitigate these risks, users can take measures such as using strong passwords, enabling two-factor authentication, and avoiding opening suspicious emails or attachments.",1
5382,"at its core, information theory seeks to understand the fundamental limits of communication and data processing, and to identify efficient ways of encoding, transmitting, and decoding information.",1
6053,advisory and notification markup language (anml) is an xml-based language used for defining notification and alert messages in a machine-readable format.,1
17,"if a group is moderated, understand the moderator’s guidelines so your postings won’t be rejected.",0
3410,here's how the distribution and reading of netnews works:posting a message: users can post messages to a newsgroup by composing a message in their newsreader software and submitting it to their local news server.,1
3107,"the earliest design tool was the flowchart, often drawn with the aid of a template that could be used to trace the symbols on paper ,.",0
2055,"however they are really buying a system chipset that includes the microprocessor itself , and often a memory cache (which may be part of the microprocessor or a separate chip—see cache) as well as the chips that control the memory bus (which connects the processor to the main memory on the moth-erboard—see bus. )",0
3383,"at that time, email was used primarily by academics and researchers, who used it to share information and collaborate on projects.",1
7219,the last mile typically refers to the physical connection between a user's premises (such as a home or office) and the telecommunications provider's network infrastructure.,1
4049,"for example, a power outage or system failure can result in significant disruptions to business operations, critical services, and public safety.",1
1876,"if the validation check for any data field fails, the flag would be set to false.",0
5354,internationalization (often abbreviated as i18n) is the process of designing and developing software so that it can be easily adapted to different languages and regions.,1
6967,"c is a low-level language, meaning that it provides direct access to computer hardware and system resources, such as memory and cpu registers.",1
5977,"in the late 1960s and early 1970s, other basic programming languages were developed, including cobol (common business-oriented language), used for business applications, and pascal, used for teaching programming concepts.",1
277,"os x development began when steve jobsreturned as apple ceo in 1997 ,and the company bought next, acquiring the software.",0
2080,balancing central security control and group administration decides about the involvement of security administration.,0
6864,"demons are typically used in operating systems and network servers to manage resources, monitor system performance, and provide various types of services.",1
2668,social engineering is a technique where persuasion and/or deception are usedto gain access to the systems.,0
4183,"film scanners: these scanners are specifically designed to scan film negatives, slides, or transparencies.",1
5201,"additionally, the .",1
6385,there are two main types of encryption: symmetric encryption and asymmetric encryption.,1
81,a network attached storage (nas) unit can be thought of as a dedicated data storage unit that is available to all users of a network.,0
126,"however, floating-pointnumbers are normalized to a form in which there is just onedigit to the left of the decimal point.",0
7147,"common operations on strings include concatenation (combining two or more strings into a single string), substring extraction (extracting a portion of a string), and searching for specific characters or patterns within a string.",1
5021,"browsers are used as a platform in several ways, including:running web applications: browsers provide an environment in which web applications can run, allowing users to access web-based software like email clients, productivity tools, and content management systems.",1
6936,cloud computing: cloud computing is a form of distributed computing that allows for on-demand access to computing resources over a network.,1
4446,"sony has produced many successful consumer products over the years, including:sony walkman - the walkman revolutionized portable music and was one of sony's most successful products.",1
6965,"c is a general-purpose, procedural programming language that was developed by dennis ritchie at bell labs in the early 1970s.",1
4602,a systems analyst is a professional who analyzes an organization's business and information systems to design solutions that meet the organization's needs.,1
3004,replication (copying) of data across a widely dispersed network can also provide improved data recovery in the event of a disaster,0
6188,"when a computer accesses data from a hard drive, it takes time to read the data from the physical disk.",1
4876,"applications: unix supports a wide range of applications, including text editors, compilers, web servers, and database management systems.",1
1208,"the most widely used formats include dv (digital video) and mpeg (motion picture expert group), which has versions that vary in the amount of compression and thus fidelity",0
899,wavthe wav (wave) file format is specific to microsoft windows.,0
4315,a shell can be thought of as a command interpreter or command-line interface that allows users to enter commands and execute them on the operating system.,1
190,"unlike the case with casino games, online poker playersplay against each other, not the house.",0
7091,"cd-roms have a capacity of up to 700 mb of data, which is equivalent to about 80 minutes of audio.",1
3763,"parallel ports were popular because they allowed for relatively fast data transfer rates, especially compared to older serial ports.",1
5480,"here are some of the most common applications:digitizing handwritten documents: handwriting recognition technology can convert handwritten documents into digital form, making them easier to store, search, and share.",1
1666,"by 2006, “to google” could be found in dictionaries as a verb meaning to look up anyone or anything online.",0
4059,it was controlled by a computer program that could be programmed to repeat a set of motions.,1
4332,"for example, simulations are used to model the performance of aircraft, automobiles, and other transportation systems, as well as to optimize manufacturing processes and improve energy efficiency.",1
3816,the nature of consciousness: some philosophers have explored the question of whether computers can truly be conscious.,1
6508,"it's widely used by web developers for building websites and web applications, and is compatible with most web servers and operating systems.",1
2727,"however, optical-scan ballots must be properly marked using the correct type of pencil, or they may not be read correctly.",0
125,the -2 moves the decimal pointat the end two places to the left.,0
4904,"while vbscript was once a popular scripting language, it has largely been replaced by newer languages such as powershell and javascript.",1
880,"(since inserting a record and physically moving all the higher records up in memory can be time-consuming, a linked list of key values and associated record number is often used instead.",0
4697,"community forums - community forums are online platforms where users can interact with each other to share tips, solutions, and advice.",1
1510,"this method of file transfer has been largely supplanted by the use of download links on web pages, except for high-volume applica-tions (where an ftp server is often operated “behind the scenes” of a web link).",0
7120,"art: cellular automata have been used as a tool for creating art and music, often by using the patterns generated by the rules to create visual or auditory stimuli.",1
5606,"it was developed by aldus corporation in the 1980s and is widely used in the printing, publishing, and graphic design industries.",1
5842,"there are several types of flat panel display technologies, including:lcd (liquid crystal display): lcd displays use liquid crystals to selectively filter light and produce an image.",1
1177,"it is important to note that in unix a shell is just another program, so there can be (and are) many different shells reflecting varying tastes and purposes ,.",0
6689,"encryption is the process of converting information or data into a secret code or cipher, so that only authorized individuals or systems can access and interpret the information.",1
3079,"calculatorcircuits to perform calculations electronically was first seen in the giant computers of the late 1940s, but this was obviously impractical for desktop office use.",0
4253,keyword search is useful for finding specific information quickly.,1
6599,social engineering is a common tactic used by hackers and cyber criminals to gain access to sensitive information or systems.,1
2254,agreement provides a high degree of assurance (butnot total assurance) that data have not been changed during the interveningperiod.,0
3362,"stay on topic: when participating in online discussions, try to keep your contributions relevant to the topic at hand.",1
4536,this software can detect and remove spyware from your computer.,1
4384,google: google is a us-based company that manufactures the pixel smartphones and uses the android operating system.,1
1699,"gif also uses compres-sion to achieve compactness, but unlike the case with jpeg it is a lossless compression called lzw.",0
2453,a firewall is a combination of hardware and software used toimplement a security policy governing the network traffic between two ormore networks.,0
4613,they work closely with business stakeholders to understand their needs and translate those needs into effective it solutions.,1
5059,"if the resource is not found, the web server will send a ""404 not found"" response to the client.",1
5881,key feature of forth is its extensibility.,1
365,fortunately there are ways in which software can help detect and block most phishing attempts.,0
2909,"in order to conduct such research or analysis, the data collected in the course of business must be stored in such a way that it is both accurate and flexible in terms of the number of different ways in which it can be queried.",0
2659,this means that thesesystems are only as good as their patter/finger print/signature database.,0
2362,many hosts are used to send packets to a target host.,0
1443,"although these tools were useful, the kernel, or basic set of operating system functions, was still missing ,.",0
4489,the elements are then sorted by iterating through the hash table and collecting the values in order.,1
3728,"feature extraction: ocr algorithms can also identify characters by extracting features such as lines, curves, and corners in the image.",1
6826,"there are many types of data structures, each with its own strengths and weaknesses depending on the specific application.",1
2238,it watches requests for html pages‚images and files to come by‚ saving a copy for itself.,0
5515,"in recent years, gates has become increasingly involved in philanthropy, through the bill and melinda gates foundation, which he founded with his wife in 2000.",1
3972,"python is used in a variety of applications, including web development, scientific computing, data analysis, artificial intelligence, and machine learning.",1
3427,the sage system was designed to provide early warning of potential air attacks by the soviet union.,1
1937,fortran (formula translator) was the first widely used high-level programming language.,0
320,"pdf also includes support for encrypting documents sothey can only be read with a password, and for controllingwhether the document can be copied or printed, though thisdepends on the user’s software understanding and obeyingthe restrictions.",0
45,"for example, the newsgroup comp.",0
5282,"object-oriented programming: java is an object-oriented programming language, which means that it is based on the concept of objects that can interact with one another to perform tasks.",1
6048,activex components can be downloaded and installed automatically from web servers when a user visits a website that uses them.,1
2506,bri consists of two 64 kb/s b channelsand one 16 kb/s d channel for a total of 144 kb/s.,0
3202,"”the prototypical chatterbot was eliza, developed by joseph weizenbaum in the mid-1960s ,.",0
6760,computer interface: this component connects the data acquisition system to a computer or other digital device.,1
6322,"digital signatures are based on a mathematical algorithm that creates a unique digital fingerprint of the message or document, called a hash.",1
5558,"this involves managing relationships with suppliers and partners in different countries, as well as ensuring compliance with international trade and environmental regulations.",1
639,"since it is expensive to re-key text (and impractical to redraw images), some way is needed to automatically convert the varying shades or colors of the text or images into a digitized graphics image that can be stored in a file.",0
2717,the principal problems were the interpretation of punch cards that were not properly punched through (so-called dimpled or hanging chads) and the fact that some ballot layouts proved to be confusing or ambiguous.,0
3062,a cache is an area of relatively fast-access memory into which data can be stored in anticipation of its being needed for processing.,0
5735,"examples of popular p2p file sharing networks include bittorrent, edonkey, and gnutella.",1
6530,"a protocol defines the format and structure of data packets, as well as the order and timing of their transmission.",1
3038,"the c programming language was developed in the early 1970s by dennis ritchie, who based it on the earlier languages bcpl and b.",0
1516,"the telnet user is also vulnerable to having ids and passwords stolen, since these are transmitted as clear (unencrypted) text.",0
5860,"in computers, the word ""font"" refers to a set of characters (letters, numbers, symbols, and punctuation marks) that share a similar design or style.",1
6580,secure socket layer (ssl) is a security protocol that is used to establish an encrypted link between a client (such as a web browser) and a server (such as a web server).,1
959,"one of sun’s founders was a key developer of unixsoftware ,.",0
2614,this does not look good for data protection and privacy and consumeradvocacy groups have complained loudly and continue fighting for citizen’srights to privacy.,0
5615,"resource consumption in computers refers to the amount of system resources, such as cpu, memory, and disk space, that a computer uses to perform its tasks.",1
2730,however this cost may be offset by not having to develop or validate the more complicated software needed for all-electronic systems.,0
940,"for example, a procedure might call a procedure that in turn calls another procedure.",0
1949,but there are a number of more significant applications.,0
1367,in 1995.,0
1538,information theory is the study of the fundamental charac-teristics of information and its transmission and reception.,0
2675,"this process is often considered in the context of ‘memetics’, which dealswith the transfer of memes (the ‘unit of cultural inheritance’) from brain tobrain.",0
2536,a virus may also no longer distribute itself after a certain date.,0
6531,"it also specifies how errors and other issues should be handled, and what actions should be taken in the event of a problem.",1
2994,a simple form is the central computer (such as in a bank or credit card company) with which thousands of terminals communicate to submit transactions.,0
6326,"if the two hashes match, then the signature is considered valid and the recipient can be confident that the message or document has not been tampered with and was signed by the intended signer.",1
1116,"by the mid-1990s instant messaging was well established on the internet, often employing a graphical user interface, as with icq and aol instant messenger (aol later acquired icq as well).",0
2417,"asymmetric (or public key): a different key is used for encrypting and decrypting a message; accordingly, the decrypting key cannot be derived from theencrypting key.",0
7154,"python: python is a popular interpreted language that is widely used for scientific computing, data analysis, and web development.",1
821,"for example, researchers might use the following:, web and bibliographical search tools to find existing research on their topic, note-taking and concept-diagramming (“mind-mapping”) software, software to conduct polls or surveys and compile the results, social networking analysis to better understand a group’s structure and dynamics, statistical analysis tools to analyze the findings ,, map-based systems for studying geographical aspects ,, modeling software to simulate the mechanism being studied, using mathematical techniques such as the monte carlo and markov-chain methods",0
1490,"while nonprofit organiza-tions such as universities and government agencies can be internet service provider considered to be isps, the term is generally applied to a commercial, fee-based service.",0
4811,surface acoustic wave touchscreens: these touchscreens use ultrasonic waves to detect the position of a user's finger or stylus on the screen.,1
6632,these projects have made eiffel accessible to a wider audience and helped to promote the language's adoption.,1
4451,"sony mdr headphones - sony's range of headphones, including the mdr line, has been popular with consumers looking for high-quality audio.",1
2301,"also important is that with the open protocol, anyone can write a clientapplication for a particular darknet.",0
25,that way the newsgroup doesn’t get cluttered up with dozens of versions of the same information.,0
3575,avoid using too much text or complicated language.,1
1987,"the most popular e-commerce sectors today include the selling of books, music and movies, travel-related services, electronics, clothing, luxury goods, and medications.",0
3480,"overall, the research carried out at duke university and other institutions in the field of neuroprosthetics is aimed at developing new and innovative approaches to restoring function and improving the quality of life for people with neurological disorders or injuries.",1
1781,"also, the ability to modulate wavelengths allows optical fiber to carry many separate channels, greatly increas-ing the total data throughput.",0
6987,"c++ also includes support for templates, which allow developers to write generic code that can be used with a wide range of data types.",1
6980,"it is particularly popular for developing windows applications, and is commonly used for developing games, business applications, and scientific applications.",1
5010,"security: web browsers have security features that protect users from online threats such as phishing scams, malware, and malicious websites.",1
4249,this has led to the development of more sophisticated search algorithms that can provide more personalized and accurate results.,1
