label,message,message_length,word_count,num_digits,num_uppercase,num_links,has_call_to_action
ham,K I'll be sure to get up before noon and see what's what,56,13,0,2,0,0
smish,You'll not rcv any more msgs from the chat svc. For FREE Hardcore services text GO to: 69988 If u get nothing u must Age Verify with yr network & try again,155,32,5,12,0,1
smish,Reminder: You have not downloaded the content you have already paid for. Goto http://doit. mymoby. tv/ to collect your content.,127,20,0,3,1,0
smish,Sorry I missed your call let's talk when you have the time. I'm on 07090201529,78,15,11,3,0,1
smish,"Bears Pic Nick, and Tom, Pete and ... Dick. In fact, all types try gay chat with photo upload call 08718730666 (10p/min). 2 stop texts call 08712460324",151,27,25,7,0,1
ham,"Just wondering, the others just took off",40,7,0,1,0,0
smish,Hi I'm sue. I am 20 years old and work as a lapdancer. I love sex. Text me live - I'm i my bedroom now. text SUE to 89555. By TextOperator G2 1DA 150ppmsg 18+,158,35,14,15,0,1
smish,"SMS SERVICES. for your inclusive text credits, pls goto www.comuk.net login= ***** unsubscribe with STOP. no extra charge. help:08700469649. PO BOX420. IP4 5WE",159,23,16,24,1,0
ham,Ok no prob,10,3,0,1,0,0
smish,Do you want a new Video phone? 600 anytime any network mins 400 Inclusive Video calls AND downloads 5 per week Free delTOMORROW call 08002888812 or reply NOW,157,28,18,19,0,1
ham,Can i get your opinion on something first?,42,8,0,1,0,0
smish,"Congrats 2 mobile 3G Videophones R yours. call 09063458130 now! videochat wid ur mates, play java games, Dload polypH music, noline rentl. bx420. ip4. 5we. 150p",160,26,21,6,0,1
ham,No did you check? I got his detailed message now,48,10,0,2,0,1
ham,"Each Moment in a day,has its own value-Morning brings hope,afternoon brings faith,Evening brings luv,Night brings rest,Wish u find them all today.Good Morning",158,22,0,8,0,0
smish,2p per min to call Germany 08448350055 from your BT line. Just 2p per min. Check PlanetTalkInstant.com for info & T's & C's. Text stop to opt out,145,28,13,11,0,1
ham,If you hear a loud scream in about &lt;#&gt; minutes its cause my Gyno will be shoving things up me that don't belong :/,120,24,0,2,0,0
ham,"Hey ! I want you ! I crave you ! I miss you ! I need you ! I love you, Ahmad Saeed al Hallaq ...",96,26,0,9,0,0
smish,Want explicit SEX in 30 secs? Ring 02073162414 now! Costs 20p/min,65,11,15,6,0,1
ham,"You aren't coming home between class, right? I need to work out and shower!",75,14,0,2,0,0
ham,So how many days since then?,28,6,0,1,0,0
ham,Are you this much buzy,22,5,0,1,0,0
smish,For the most sparkling shopping breaks from 45 per person; call 0121 2025050 or visit www.shortbreaks.org.uk,108,16,13,1,1,1
smish,Wanna get laid 2nite? Want real Dogging locations sent direct to ur mobile? Join the UK's largest Dogging Network. Txt PARK to 69696 now! Nyt. ec2a. 3lp £1.50/msg,162,28,11,14,0,1
ham,WHO ARE YOU SEEING?,19,4,0,15,0,0
smish,Well done ENGLAND! Get the official poly ringtone or colour flag on yer mobile! text TONE or FLAG to 84199 NOW! Opt-out txt ENG STOP. Box39822 W111WX £1.50,155,28,16,32,0,1
smish,Call Germany for only 1 pence per minute! Call from a fixed line via access number 0844 861 85 85. No prepayment. Direct access! www.telediscount.co.uk,151,25,12,5,1,1
smish,Sorry! U can not unsubscribe yet. THE MOB offer package has a min term of 54 weeks> pls resubmit request after expiry. Reply THEMOB HELP 4 more info,148,28,3,19,0,0
ham,Do you know where my lab goggles went,37,8,0,1,0,0
ham,"How are you, my Love ? Are you with your brother ? Time to talk english with him ? *grins* Say : Hey Muhommad, Penny says hello from across the sea",147,31,0,8,0,0
smish,We tried to contact you re your reply to our offer of a Video Handset? 750 anytime networks mins? UNLIMITED TEXT? Camcorder? Reply or call 08000930705 NOW,154,27,14,21,0,1
ham,I am going to sleep. I am tired of travel.,42,10,0,2,0,0
smish,Get a brand new mobile phone by being an agent of The Mob! Plus loads more goodies! For more info just text MAT to 87021.,121,25,5,8,0,0
smish,Monthly password for wap. mobsi.com is 391784. Use your wap phone not PC.,73,13,6,4,0,0
ham,JADE ITS PAUL. Y DIDNT U TXT ME? DO U REMEMBER ME FROM BARMED? I WANT 2 TALK 2 U! TXT ME,89,22,2,61,0,0
smish,FreeMsg: Hey - I'm Buffy. 25 and love to satisfy men. Home alone feeling randy. Reply 2 C my PIX! QlynnBV Help08700621170150p a msg Send stop to stop txts,154,29,17,16,0,0
ham,Where are you ? What do you do ? How can you stand to be away from me ? Doesn't your heart ache without me ? Don't you wonder of me ? Don't you crave me ?,154,37,0,6,0,0
ham,Crucify is c not s. You should have told me earlier.,52,11,0,2,0,0
ham,Okay but i thought you were the expert,38,8,0,1,0,0
ham,When u love someone Dont make them to love u as much as u do. But Love them so much that they dont want to be loved by anyone except you... Gud nit.,148,33,0,5,0,0
ham,Ok.,3,1,0,1,0,0
smish,YES! The only place in town to meet exciting adult singles is now in the UK. Txt CHAT to 86688 now! 150p/Msg.,109,22,8,12,0,1
ham,Yeah he got in at 2 and was v apologetic. n had fallen out and she was actin like spoilt child and he got caught up in that. Till 2! But we won't go there! Not doing too badly cheers. You? ,189,41,2,5,0,0
ham,Hey i will be really pretty late... You want to go for the lesson first? I will join you. I'm only reaching tp mrt,114,24,0,4,0,0
smish,u r a winner U ave been specially selected 2 receive £1000 cash or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810710p/min (18 ),151,29,22,1,0,0
ham,"Sweetheart, hope you are not having that kind of day! Have one with loads of reasons to smile. Biola",100,19,0,3,0,0
ham,Stupid.its not possible,23,3,0,1,0,0
smish,Ur balance is now £500. Ur next question is: Who sang 'Uptown Girl' in the 80's ? 2 answer txt ur ANSWER to 83600. Good luck!,125,26,11,12,0,1
smish,A link to your picture has been sent. You can also use http://alto18.co.uk/wave/wave.asp?o=44345,96,13,7,2,1,0
ham,I like to talk pa but am not able to. I dont know y.,52,14,0,2,0,0
smish,Promotion Number: 8714714 - UR awarded a City Break and could WIN a £200 Summer Shopping spree every WK. Txt STORE to 88039 . SkilGme. TsCs087147403231Winawk!Age16 £1.50perWKsub,177,27,32,27,0,1
smish,You have WON a guaranteed £1000 cash or a £2000 prize.To claim yr prize call our customer service representative on,115,20,8,5,0,1
smish,Congratulations ur awarded 500 of CD vouchers or 125gift guaranteed & Free entry 2 100 wkly draw txt MUSIC to 87066,115,21,15,9,0,1
ham,"Vikky, come around  &lt;TIME&gt; ..",35,5,0,5,0,0
smish,GENT! We are trying to contact you. Last weekends draw shows that you won a £1000 prize GUARANTEED. Call 09064012160. Claim Code K52. Valid 12hrs only. 150ppm,158,27,22,21,0,1
ham,:) ,3,1,0,0,0,0
smish,"URGENT! You have won a 1 week FREE membership in our £100,000 Prize Jackpot! Txt the word: CLAIM to No: 81010 T&C www.dbuk.net LCCLTD POBOX 4403LDNW1A7RW18",155,26,20,40,1,1
ham,S:)no competition for him.,26,4,0,1,0,0
ham,I dont know oh. Hopefully this month.,37,7,0,2,0,0
smish,EASTENDERS TV Quiz. What FLOWER does DOT compare herself to? D= VIOLET E= TULIP F= LILY txt D E or F to 84025 NOW 4 chance 2 WIN £100 Cash WKENT/150P16+,152,31,15,57,0,1
smish,"Congrats! 1 year special cinema pass for 2 is yours. call 09061209465 now! C Suprman V, Matrix3, StarWars3, etc all 4 FREE! bx420-ip4-5we. 150pm. Dont miss out!",160,27,24,12,0,1
ham,"Sorry, I'll call later",22,4,0,2,0,1
ham,Hui xin is in da lib.,21,6,0,1,0,0
smish,SMS. ac Sptv: The New Jersey Devils and the Detroit Red Wings play Ice Hockey. Correct or Incorrect? End? Reply END SPTV,120,22,0,24,0,0
smish,22 days to kick off! For Euro2004 U will be kept up to date with the latest news and results daily. To be removed send GET TXT STOP to 83222,140,30,11,14,0,0
smish,"Urgent! call 09066350750 from your landline. Your complimentary 4* Ibiza Holiday or 10,000 cash await collection SAE T&Cs PO BOX 434 SK3 8WP 150 ppm 18+",152,26,27,18,0,1
ham,"No, I was trying it all weekend ;V",34,8,0,3,0,0
ham,Jokin only lar... :-) depends on which phone my father can get lor...,69,13,0,1,0,0
ham,True dear..i sat to pray evening and felt so.so i sms'd you in some time...,75,15,0,1,0,0
ham,There the size of elephant tablets & u shove um up ur ass!!,59,13,0,1,0,0
ham,One small prestige problem now.,31,5,0,1,0,1
ham,Dont know supports ass and srt i thnk. I think ps3 can play through usb too,75,16,1,2,0,0
smish,Free Top ringtone -sub to weekly ringtone-get 1st week free-send SUBPOLY to 81618-?3 per week-stop sms-08718727870,114,16,18,9,0,1
smish,"our mobile number has won £5000, to claim calls us back or ring the claims hot line on 09050005321.",99,19,15,0,0,0
smish,"Your free ringtone is waiting to be collected. Simply text the password ""MIX"" to 85069 to verify. Get Usher and Britney. FML, PO Box 5249, MK17 92H. 450Ppw 16",158,29,18,18,0,1
ham,"Sorry, I'll call later",22,4,0,2,0,1
smish,Married local women looking for discreet action now! 5 real matches instantly to your phone. Text MATCH to 69969 Msg cost 150p 2 stop txt stop BCMSFWC1N3XX,155,27,12,18,0,1
smish,Knock Knock Txt whose there to 80082 to enter r weekly draw 4 a £250 gift voucher 4 a store of yr choice. T&Cs www.tkls.com age16 to stoptxtstop£1.50/week,154,28,15,5,1,0
smish,Santa Calling! Would your little ones like a call from Santa Xmas eve? Call 09058094583 to book your time.,106,19,11,6,0,1
ham,"Could you not read me, my Love ? I answered you",47,11,0,3,0,0
smish,SMS SERVICES For your inclusive text credits pls gotto www.comuk.net login 3qxj9 unsubscribe with STOP no extra charge help 08702840625 comuk.220cm2 9AE,152,22,18,18,1,0
smish,"Goal! Arsenal 4 (Henry, 7 v Liverpool 2 Henry scores with a simple shot from 6 yards from a pass by Bergkamp to give Arsenal a 2 goal margin after 78 mins.",155,32,7,7,0,0
ham,Well its not like you actually called someone a punto. That woulda been worse.,78,14,0,2,0,0
smish,"You are being contacted by our Dating Service by someone you know! To find out who it is, call from your mobile or landline 09064017305 PoBox75LDNS7 ",149,26,14,10,0,1
smish,ree entry in 2 a weekly comp for a chance to win an ipod. Txt POD to 80182 to get entry (std txt rate) T&C's apply 08452810073 for details 18+,142,30,19,6,0,1
ham,Da my birthdate in certificate is in april but real date is today. But dont publish it. I shall give you a special treat if you keep the secret. Any way thanks for the wishes,174,35,0,4,0,0
ham,Happy new years melody!,23,4,0,1,0,0
smish,"Eerie Nokia tones 4u, rply TONE TITLE to 8007 eg TONE DRACULA to 8007 Titles: GHOST, ADDAMSFA, MUNSTERS, EXORCIST, TWILIGHT www.getzed.co.uk POBox36504W45WQ 150p ",162,23,19,66,1,0
ham,Message:some text missing* Sender:Name Missing* *Number Missing *Sent:Date missing *Missing U a lot thats y everything is missing sent via fullonsms.com,152,21,0,10,0,0
ham,Ok... Let u noe when i leave my house.,38,9,0,2,0,0
ham,You have got tallent but you are wasting.,41,8,0,1,0,0
ham,"Do 1 thing! Change that sentence into: ""Because i want 2 concentrate in my educational career im leaving here..""",112,19,2,3,0,0
ham,Yo dude guess who just got arrested the other day,49,10,0,1,0,0
smish,"Last Chance! Claim ur £150 worth of discount vouchers today! Text SHOP to 85023 now! SavaMob, offers mobile! T Cs SavaMob POBOX84, M263UZ. £3.00 Sub. 16",152,26,18,23,0,1
smish,"You are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a £500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18+",147,25,18,24,0,0
ham,Are you this much buzy,22,5,0,1,0,0
ham,Also remember to get dobby's bowl from your car,47,9,0,1,0,0
smish,"Hi babe its Jordan, how r u? Im home from abroad and lonely, text me back if u wanna chat xxSP visionsms.com Text stop to stopCost 150p 08712400603",147,28,14,7,0,0
smish,Please call our customer service representative on 0800 169 6031 between 10am-9pm as you have WON a guaranteed £1000 cash or £5000 prize!,137,23,22,4,0,1
smish,You have 1 new voicemail. Please call 08719181513.,50,8,12,2,0,1
ham,"Hey elaine, is today's meeting still on?",40,7,0,1,0,0
smish,The current leading bid is 151. To pause this auction send OUT. Customer Care: 08718726270,90,15,14,7,0,0
ham,MAKE SURE ALEX KNOWS HIS BIRTHDAY IS OVER IN FIFTEEN MINUTES AS FAR AS YOU'RE CONCERNED,87,16,0,71,0,0
smish,You won't believe it but it's true. It's Incredible Txts! Reply G now to learn truly amazing things that will blow your mind. From O2FWD only 18p/txt,149,27,3,11,0,1
ham,"I'm a guy, browsin is compulsory",32,6,0,1,0,0
ham,Hey come online! Use msn... We are all there,44,9,0,3,0,0
smish,18 days to Euro2004 kickoff! U will be kept informed of all the latest news and results daily. Unsubscribe send GET EURO STOP to 83222.,135,25,11,14,0,0
ham,Yes..gauti and sehwag out of odi series.,40,7,0,1,0,0
smish,You are being ripped off! Get your mobile content from www.clubmoby.com call 08717509990 poly/true/Pix/Ringtones/Games six downloads for only 3,143,19,12,5,1,1
smish,You are awarded a SiPix Digital Camera! call 09061221061 from landline. Delivery within 28days. T Cs Box177. M221BP. 2yr warranty. 150ppm. 16 . p p£3.99,152,25,28,12,0,1
smish,CALL 09090900040 & LISTEN TO EXTREME DIRTY LIVE CHAT GOING ON IN THE OFFICE RIGHT NOW TOTAL PRIVACY NO ONE KNOWS YOUR [sic] LISTENING 60P MIN 24/7MP 0870753331018+,163,28,29,99,0,1
smish,HMV BONUS SPECIAL 500 pounds of genuine HMV vouchers to be won. Just answer 4 easy questions. Play Now! Send HMV to 86688 More info:www.100percent-real.com,155,25,12,26,1,1
ham,"Sorry, I'll call later",22,4,0,2,0,1
smish,"Latest Nokia Mobile or iPOD MP3 Player +£400 proze GUARANTEED! Reply with: WIN to 83355 now! Norcorp Ltd.£1,50/Mtmsgrcvd18+",123,18,14,26,0,1
smish,"Download as many ringtones as u like no restrictions, 1000s 2 choose. U can even send 2 yr buddys. Txt Sir to 80082 £3 ",119,24,12,4,0,0
smish,"Someone U know has asked our dating service 2 contact you! Cant guess who? CALL 09058095107 NOW all will be revealed. POBox 7, S3XY 150p ",137,25,17,16,0,1
smish,Block Breaker now comes in deluxe format with new features and great graphics from T-Mobile. Buy for just £5 by replying GET BBDELUXE and take the challenge,156,27,1,16,0,1
smish,Hi 07734396839 IBH Customer Loyalty Offer: The NEW NOKIA6600 Mobile from ONLY £10 at TXTAUCTION!Txt word:START to No:81151 & get Yours Now!4T&,142,22,23,41,0,1
ham,I thk 530 lor. But dunno can get tickets a not. Wat u doing now?,64,15,3,3,0,1
ham,Its too late:)but its k.wish you the same.,42,8,0,1,0,0
ham,"The fact that you're cleaning shows you know why i'm upset. Your priority is constantly ""what i want to do,"" not ""what i need to do.""",133,26,0,2,0,0
ham,Mmm so yummy babe ... Nice jolt to the suzy,43,10,0,2,0,0
ham,"* Was really good to see you the other day dudette, been missing you!",69,14,0,1,0,0
ham,"I'll see, but prolly yeah",25,5,0,1,0,0
ham,I liked your new house,22,5,0,1,0,0
ham,Ok lor. Anyway i thk we cant get tickets now cos like quite late already. U wan 2 go look 4 ur frens a not? Darren is wif them now...,133,30,2,4,0,1
ham,"I can't speak, bcaz mobile have problem. I can listen you but you cann't listen my voice. So i calls you later.",111,22,0,3,0,0
smish,"Sunshine Hols. To claim ur med holiday send a stamped self address envelope to Drinks on Us UK, PO Box 113, Bray, Wicklow, Eire. Quiz Starts Saturday! Unsub Stop",161,29,3,18,0,0
smish,"Double Mins & 1000 txts on Orange tariffs. Latest Motorola, SonyEricsson & Nokia with Bluetooth FREE! Call MobileUpd8 on 08000839402 or call2optout/HF8",151,22,18,18,0,1
ham,To day class is there are no class.,35,8,0,1,0,0
ham,"Hi, Mobile no.  &lt;#&gt;  has added you in their contact list on www.fullonsms.com It s a great place to send free sms to people For more visit fullonsms.com",158,28,0,4,1,1
smish,RCT' THNQ Adrian for U text. Rgds Vatian,40,8,0,11,0,0
ham,Mode men or have you left.,26,6,0,1,0,0
smish,goldviking (29/M) is inviting you to be his friend. Reply YES-762 or NO-762 See him: www.SMS.ac/u/goldviking STOP? Send STOP FRND to 62468,138,22,13,24,1,0
ham,Hey... are you going to quit soon? Xuhui and i working till end of the month ,77,16,0,2,0,0
smish,"Customer service announcement. We recently tried to make a delivery to you but were unable to do so, please call 07090298926 to re-schedule. Ref:9307622",152,24,18,3,0,1
ham,"Goodmorning, today i am late for 2hrs. Because of back pain.",60,11,1,2,0,0
ham,"Babe ! How goes that day ? What are you doing ? Where are you ? I sip my cappuccino and think of you, my love ... I send a kiss to you from across the sea",154,37,0,6,0,0
ham,Tell them the drug dealer's getting impatient,45,7,0,1,0,0
ham,Just seeing your missed call my dear brother. Do have a gr8 day.,64,13,1,2,0,1
ham,"I got like $ &lt;#&gt; , I can get some more later though. Get whatever you feel like",85,18,0,3,0,0
ham,"What do u reckon as need 2 arrange transport if u can't do it, thanks",69,15,1,1,0,0
smish,"Congrats! 2 mobile 3G Videophones R yours. call 09061744553 now! videochat wid ur mates, play java games, Dload polyH music, noline rentl. bx420. ip4. 5we. 150pm",161,26,21,6,0,1
ham,"Hey chief, can you give me a bell when you get this. Need to talk to you about this royal visit on the 1st june. ",113,25,1,2,0,0
smish,FREE for 1st week! No1 Nokia tone 4 ur mobile every week just txt NOKIA to 8077 Get txting and tell ur mates. www.getzed.co.uk POBox 36504 W45WQ 16+ norm150p/tone,162,29,19,18,1,1
smish,PRIVATE! Your 2003 Account Statement for shows 800 un-redeemed S.I.M. points. Call 08718738001 Identifier Code: 49557 Expires 26/11/04,134,18,29,17,0,1
ham,Many more happy returns of the day. I wish you happy birthday.,62,12,0,2,0,0
ham,Yo you around? A friend of mine's lookin to pick up later tonight,65,13,0,2,0,0
smish,Back 2 work 2morro half term over! Can U C me 2nite 4 some sexy passion B4 I have 2 go back? Chat NOW 09099726481 Luv DENA Calls £1/minMobsmoreLKPOBOX177HP51FL,159,29,23,28,0,1
ham,Nope... Think i will go for it on monday... Sorry i replied so late,67,14,0,3,0,0
ham,"Arngd marriage is while u r walkin unfortuntly a snake bites u. bt love marriage is dancing in frnt of d snake &amp; sayin Bite me, bite me.",140,28,0,2,0,0
smish,Dear Voucher Holder 2 claim your 1st class airport lounge passes when using Your holiday voucher call 08704439680. When booking quote 1st class x 2,147,25,15,5,0,1
smish,Can U get 2 phone NOW? I wanna chat 2 set up meet Call me NOW on 09096102316 U can cum here 2moro Luv JANE xx Calls£1/minmoremobsEMSPOBox45PO139WA,146,27,20,27,0,1
smish,ringtoneking 84484,18,2,5,0,0,0
smish,Had your mobile 11mths ? Update for FREE to Oranges latest colour camera mobiles & unlimited weekend calls. Call Mobile Upd8 on freefone 08000839402 or 2StopTx,159,26,15,12,0,1
ham,"Hello, my love. What are you doing? Did you get to that interview today? Are you you happy? Are you being a good boy? Do you think of me?Are you missing me ?",157,33,0,7,0,0
ham,Anything lor... U decide...,27,4,0,2,0,0
ham,This girl does not stay in bed. This girl doesn't need recovery time. Id rather pass out while having fun then be cooped up in bed,130,26,0,3,0,0
ham,Is avatar supposed to have subtoitles,37,6,0,1,0,0
smish,"ou are guaranteed the latest Nokia Phone, a 40GB iPod MP3 player or a £500 prize! Txt word: COLLECT to No: 83355! IBHltd LdnW15H 150p/Mtmsgrcvd18",145,25,18,23,0,0
smish,Join the UK's horniest Dogging service and u can have sex 2nite!. Just sign up and follow the instructions. Txt ENTRY to 69888 now! Nyt.EC2A.3LP.msg@150p,153,25,11,17,0,1
smish,"Welcome to UK-mobile-date this msg is FREE giving you free calling to 08719839835. Future mgs billed at 150p daily. To cancel send ""go stop"" to 89123",149,26,19,9,0,1
ham,Ok.. Ü finishing soon?,22,4,0,2,0,0
ham,Pls help me tell Ashley that i cant find her number oh,54,12,0,2,0,0
smish,Ur cash-balance is currently 500 pounds - to maximize ur cash-in now send COLLECT to 83600 only 150p/msg. CC: 08718720201 PO BOX 114/14 TCR/W1,142,24,28,19,0,1
ham,"Wow. I never realized that you were so embarassed by your accomodations. I thought you liked it, since i was doing the best i could and you always seemed so happy about ""the cave"". I'm sorry I didn't and don't have more to give. I'm sorry i offered. I'm sorry your room was so embarassing.",289,55,0,7,0,0
ham,Oh yah... We never cancel leh... Haha ,38,7,0,3,0,0
ham,I love u 2 my little pocy bell I am sorry but I love u,54,15,1,3,0,0
ham,Yeah imma come over cause jay wants to do some drugs,52,11,0,1,0,0
smish,You have WON a guaranteed £1000 cash or a £2000 prize. To claim yr prize call our customer service representative on 08714712379 between 10am-7pm Cost 10p,154,26,24,6,0,1
ham,Its a part of checking IQ,25,6,0,3,0,0
ham,How have your little darlings been so far this week? Need a coffee run tomo?Can't believe it's that time of week already …,122,23,0,3,0,0
smish,Update_Now - 12Mths Half Price Orange line rental: 400mins...Call MobileUpd8 on 08000839402 or call2optout=J5Q,110,14,19,11,0,1
smish,"all the lastest from Stereophonics, Marley, Dizzee Racal, Libertines and The Strokes! Win Nookii games with Flirt!! Click TheMob WAP Bookmark or text WAP to 82468",162,26,5,20,0,1
smish,You have won a Nokia 7250i. This is what you get when you win our FREE auction. To take part send Nokia to 86021 now. HG/Suite342/2Lands Row/W1JHL 16+,150,28,16,18,0,1
smish,Congratulations U can claim 2 VIP row A Tickets 2 C Blu in concert in November or Blu gift guaranteed Call 09061104276 to claim TS&Cs www.smsco.net cost£3.75max ,161,27,16,15,1,1
smish,URGENT This is our 2nd attempt to contact U. Your £900 prize from YESTERDAY is still awaiting collection. To claim CALL NOW 09061702893,135,23,15,26,0,1
smish,"SMS SERVICES. for your inclusive text credits, pls goto www.comuk.net login= 3qxj9 unsubscribe with STOP, no extra charge. help 08702840625.COMUK. 220-CM2 9AE",158,22,18,24,1,0
ham,"Haven't seen my facebook, huh? Lol!",35,6,0,2,0,0
ham,Did you get any gift? This year i didnt get anything. So bad,60,13,0,3,0,0
ham,"Sorry, I'll call later",22,4,0,2,0,1
smish,08714712388 between 10am-7pm Cost 10p,37,5,16,1,0,0
smish,For taking part in our mobile survey yesterday! You can now have 500 texts 2 use however you wish. 2 get txts just send TXT to 80160 T&C www.txt43.com 1.50p,156,30,15,7,1,1
ham,Any way where are you and what doing.,37,8,0,1,0,0
ham,"Aight, I'll hit you up when I get some cash",43,10,0,3,0,0
smish,You are a winner U have been specially selected 2 receive £1000 or a 4* holiday (flights inc) speak to a live operator 2 claim 0871277810910p/min (18+) ,152,27,22,2,0,0
ham,Lol ... I really need to remember to eat when I'm drinking but I do appreciate you keeping me company that night babe *smiles*,126,24,0,4,0,0
ham,I.ll give her once i have it. Plus she said grinule greet you whenever we speak,79,16,0,2,0,0
smish,Freemsg: 1-month unlimited free calls! Activate SmartCall Txt: CALL to No: 68866. Subscriptn3gbp/wk unlimited calls Help: 08448714184 Stop?txt stop landlineonly,160,20,18,13,0,1
